nodes,communities
Calum5SOS,1
jonlovett,2
Joke_Jaith,3
eelawl1966,3
BruceBartlett,2
GottaLaff,2
coopah,3
_CFJ_,5
NorwoodTeaParty,5
Mike_USPatriot,5
anamariecox,2
revivaIariana,3
RonNehring,5
nxthompson,2
SkyNews,3
rumpfshaker,5
INJO,5
DCHomos,2
CarlyFiorina,5
Women4Bernie,3
BerniesHomie,3
TRUMPMOVEMENTUS,4
MarketWatch,5
robfee,3
ernieHHI,4
Latinos4Bernie,3
DylanByers,2
JTSantucci,4
mcspocky,2
dawngpsalm63,4
mcuban,2
RichardJSunkle,5
SeriesBrazil,3
NeilTurner_,4
matthaig1,2
smoothkobra,2
CronkiteSays,4
johnnyShady_,3
CindyBlackwel12,4
jk_rowling,3
rachelheldevans,2
people,2
DaiIyRaps,1
HotlineJosh,5
Harlan,4
MonicaCrowley,4
21damone,4
PatVPeters,4
IndyUSA,3
SethMacFarlane,2
hunterschwarz,5
DaGodfather907,4
greeneyes0084,4
michaeljohns,4
JOMainEvent,4
Gumball55668882,4
Old_Bern_Kenobi,3
YaimaCosta,3
JustinRaimondo,4
Juliet777777,4
instapundit,5
br_uk,1
AngryBlackLady,2
Onision,2
jamiedupree,5
gloed_up,3
el_pais,2
TeamTrumpNC,4
OzForBernie,3
historicalenemy,3
STlMULATION,3
mimi_saulino,4
MichaelSkolnik,2
MarioPalush,1
barstoolsports,5
anissira,1
starfirst,2
_Proud_American,4
america_trump,4
JayCaruso,5
OnionPolitics,2
CraigRozniecki,2
ESPNNBA,1
imillhiser,2
DavidAFrench,5
Footy_Jokes,1
AdamBaldwin,5
woodruffbets,5
newswirenet,3
movietvtechgeek,1
DrTomMartinPhD,2
TedTheZodiac,3
Drunk_America,4
katherinemiller,2
joeyyeo13,4
EW,2
CFKArgentina,1
RedNationRising,4
LosinDonald,2
NewDay,2
DebraMessing,2
eclecticbrotha,2
CitizensFedUp,2
rickygervais,3
BoSnerdley,5
MrEdTrain,4
